[51.4980780,-0.1752270]
[51.4981550,-0.1741780]
[51.4989440,-0.1742840]
[51.4998480,-0.1744210]
[51.5017320,-0.1744300]
[51.5021270,-0.1744950]
[51.5021520,-0.1714450]
[51.5021550,-0.1688460]
[51.5021780,-0.1666360]
[51.5023370,-0.1639380]
[51.5024240,-0.1621750]
[51.5026380,-0.1589230]
[51.5028570,-0.1563720]
[51.5031420,-0.1535190]
[51.5033950,-0.1527850]
[51.5032270,-0.1525380]
[51.5031240,-0.1523930]
[51.5029250,-0.1520210]
[51.5026680,-0.1516060]
[51.5025860,-0.1500560]
[51.5025640,-0.1490800]
[51.5025270,-0.1471720]
[51.5024500,-0.1449780]
[51.5023580,-0.1427500]
[51.5023150,-0.1418660]
[51.5022960,-0.1415110]
[51.5023060,-0.1408090]
[51.5022620,-0.1402580]
[51.5020620,-0.1398520]
