[51.4980780,-0.1752270]
[51.4981130,-0.1747130]
[51.4981550,-0.1741780]
[51.4986950,-0.1742830]
[51.4989440,-0.1742840]
[51.4992530,-0.1743390]
[51.4996390,-0.1743890]
[51.5002540,-0.1743570]
[51.5005840,-0.1743890]
[51.5009120,-0.1744050]
[51.5012290,-0.1744430]
[51.5015600,-0.1744690]
[51.5018070,-0.1744800]
[51.5021510,-0.1744960]
[51.5021410,-0.1739810]
[51.5021240,-0.1733000]
[51.5021370,-0.1725860]
[51.5021410,-0.1718460]
[51.5021470,-0.1711430]
[51.5021610,-0.1702100]
[51.5021720,-0.1695830]
[51.5021790,-0.1689930]
[51.5021920,-0.1683380]
[51.5022090,-0.1678290]
[51.5022160,-0.1672120]
[51.5022060,-0.1666060]
[51.5022260,-0.1660800]
[51.5022390,-0.1655110]
[51.5022760,-0.1650610]
[51.5022960,-0.1646160]
[51.5023260,-0.1640040]
[51.5023660,-0.1633230]
[51.5023890,-0.1627490]
[51.5024490,-0.1622020]
[51.5024960,-0.1616330]
[51.5025490,-0.1610050]
[51.5025900,-0.1604370]
[51.5026300,-0.1600020]
[51.5026660,-0.1595890]
[51.5027400,-0.1588170]
[51.5027800,-0.1582160]
[51.5028330,-0.1575940]
[51.5029230,-0.1566550]
[51.5029870,-0.1559250]
[51.5030500,-0.1551800]
[51.5031140,-0.1545090]
[51.5031710,-0.1538600]
[51.5032670,-0.1533820]
[51.5034980,-0.1528940]
[51.5034210,-0.1527390]
[51.5032040,-0.1526100]
[51.5030900,-0.1525350]
[51.5031200,-0.1522080]
[51.5030170,-0.1520840]
[51.5028670,-0.1519880]
[51.5027130,-0.1518800]
[51.5025830,-0.1517300]
[51.5025560,-0.1511400]
[51.5025190,-0.1504910]
[51.5026530,-0.1500080]
[51.5026330,-0.1495630]
[51.5026130,-0.1489300]
[51.5025990,-0.1485490]
[51.5025730,-0.1479860]
[51.5025460,-0.1473100]
[51.5025190,-0.1466710]
[51.5024930,-0.1459900]
[51.5024790,-0.1455770]
[51.5024490,-0.1449390]
[51.5024360,-0.1443540]
[51.5024120,-0.1438120]
[51.5023860,-0.1431200]
[51.5023590,-0.1425090]
[51.5023460,-0.1420530]
[51.5022390,-0.1419080]
[51.5022120,-0.1413180]
[51.5021990,-0.1407920]
[51.5021850,-0.1403580]
[51.5020550,-0.1401320]
